name	version	licence
affine	3.0.1	BSD-3-Clause
annotated-doc	0.0.5	MIT
annotated-types	0.8.0	MIT
anyio	4.15.1	MIT
attrs	26.1.0	MIT
certifi	2026.7.22	MPL-2.0
charset-normalizer	3.5.1	MIT
click	8.5.0	BSD-3-Clause
fastapi	0.141.1	MIT
geopandas	1.1.4	BSD-3-Clause
h11	0.16.0	MIT
idna	3.19	BSD-3-Clause
networkx	3.6.1	BSD-3-Clause
numpy	2.5.3	BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0
osmium	4.3.1	BSD-2-Clause
osmnx	2.1.1	MIT
packaging	26.3	Apache-2.0 OR BSD-2-Clause
pandas	3.0.5	BSD License
plotlines-core	0.0.1	(see METADATA — long free text)
plotlines-service	0.0.1	(see METADATA — long free text)
pmtiles	3.8.0	BSD-3-Clause
pydantic	2.13.5	MIT
pydantic_core	2.46.5	MIT
pyogrio	0.13.0	MIT License
pyparsing	3.3.2	MIT
pyproj	3.8.0	MIT
python-dateutil	2.9.0.post0	Dual License
rasterio	1.5.1	BSD-3-Clause
requests	2.34.2	Apache-2.0
shapely	2.1.2	BSD 3-Clause
six	1.17.0	MIT
starlette	1.6.0	BSD-3-Clause
typing-inspection	0.4.4	MIT
typing_extensions	4.16.0	PSF-2.0
urllib3	2.7.0	MIT
uvicorn	0.53.0	BSD-3-Clause
